OCCUPATIONTYPE,OCCUPATIONID,RELATIONTYPE,SKILLID
esco,key_20678,optional,key_19590
esco,key_20679,essential,key_19516
esco,key_20679,essential,key_19799
esco,key_20679,optional,key_19489
esco,key_20679,optional,key_20402
esco,key_20680,essential,key_19881
esco,key_20680,optional,key_19591
esco,key_20680,optional,key_19860
esco,key_20681,essential,key_20231
esco,key_20681,optional,key_19813
esco,key_20681,optional,key_20195
esco,key_20682,essential,key_19628
esco,key_20682,optional,key_20154
esco,key_20683,essential,key_19874
esco,key_20683,essential,key_20137
esco,key_20683,essential,key_20204
esco,key_20683,optional,key_20147
esco,key_20683,optional,key_20257
esco,key_20684,essential,key_20295
esco,key_20685,optional,key_19681
esco,key_20686,optional,key_19499
esco,key_20687,essential,key_19600
esco,key_20687,essential,key_19515
esco,key_20687,essential,key_19991
esco,key_20687,essential,key_19996
esco,key_20687,essential,key_20159
esco,key_20687,optional,key_19429
esco,key_20687,optional,key_19571
esco,key_20687,optional,key_19653
esco,key_20687,optional,key_19973
esco,key_20687,optional,key_20102
esco,key_20687,optional,key_20106
esco,key_20687,optional,key_20168
esco,key_20687,optional,key_19520
esco,key_20688,essential,key_19458
esco,key_20688,essential,key_19674
esco,key_20688,optional,key_19476
esco,key_20689,essential,key_20201
esco,key_20689,essential,key_20100
esco,key_20690,essential,key_20279
esco,key_20690,optional,key_20122
esco,key_20691,essential,key_19556
esco,key_20691,essential,key_19785
esco,key_20691,optional,key_19651
esco,key_20691,optional,key_19665
esco,key_20691,optional,key_19669
esco,key_20691,optional,key_19734
esco,key_20691,optional,key_19749
esco,key_20691,optional,key_19872
esco,key_20692,essential,key_19794
esco,key_20692,essential,key_19873
esco,key_20692,optional,key_19807
esco,key_20692,optional,key_20154
esco,key_20693,essential,key_20204
esco,key_20693,optional,key_20154
esco,key_20693,optional,key_20257
esco,key_20694,essential,key_19962
esco,key_20694,optional,key_19878
esco,key_20695,essential,key_20156
esco,key_20695,essential,key_20384
esco,key_20695,essential,key_19917
esco,key_20695,optional,key_19809
esco,key_20696,essential,key_19827
esco,key_20697,essential,key_19506
esco,key_20697,essential,key_20217
esco,key_20697,optional,key_19653
esco,key_20698,essential,key_19458
esco,key_20698,essential,key_19878
esco,key_20698,optional,key_20056
esco,key_20699,optional,key_20082
esco,key_20701,essential,key_20018
esco,key_20701,optional,key_19860
esco,key_20702,essential,key_19920
esco,key_20703,essential,key_19590
esco,key_20704,essential,key_20417
esco,key_20704,optional,key_20325
esco,key_20706,optional,key_19613
esco,key_20706,optional,key_19722
esco,key_20706,optional,key_20211
esco,key_20707,optional,key_19510
esco,key_20707,optional,key_19747
esco,key_20707,optional,key_20170
esco,key_20707,optional,key_20220
esco,key_20708,essential,key_19439
esco,key_20708,essential,key_19451
esco,key_20708,essential,key_19865
esco,key_20708,essential,key_20034
esco,key_20708,optional,key_19904
esco,key_20708,optional,key_20045
esco,key_20708,optional,key_20216
esco,key_20709,essential,key_20355
esco,key_20710,essential,key_19642
esco,key_20710,essential,key_19590
esco,key_20710,essential,key_20217
esco,key_20711,essential,key_20267
esco,key_20711,essential,key_19489
esco,key_20711,optional,key_19456
esco,key_20711,optional,key_19810
esco,key_20712,essential,key_20173
esco,key_20713,essential,key_19867
esco,key_20713,essential,key_19793
esco,key_20713,optional,key_19583
esco,key_20714,optional,key_20016
esco,key_20714,optional,key_20325
esco,key_20715,essential,key_19610
esco,key_20715,essential,key_19807
esco,key_20716,essential,key_20386
esco,key_20716,essential,key_20409
esco,key_20716,optional,key_19431
esco,key_20716,optional,key_19567
