"OCCUPATIONTYPE","OCCUPATIONID","RELATIONTYPE","SKILLID","SIGNALLINGVALUELABEL","SIGNALLINGVALUE"
"escooccupation","key_20568","essential","key_19614","",""
"escooccupation","key_20568","essential","key_19478","",""
"escooccupation","key_20568","essential","key_19572","",""
"escooccupation","key_20568","essential","key_19582","",""
"escooccupation","key_20568","essential","key_19633","",""
"escooccupation","key_20568","essential","key_20024","",""
"escooccupation","key_20568","optional","key_19916","",""
"escooccupation","key_20569","essential","key_20340","",""
"escooccupation","key_20569","optional","key_20119","",""
"escooccupation","key_20569","optional","key_19499","",""
"escooccupation","key_20570","optional","key_19646","",""
"escooccupation","key_20571","essential","key_20101","",""
"escooccupation","key_20571","optional","key_20146","",""
"escooccupation","key_20572","essential","key_19764","",""
"escooccupation","key_20572","essential","key_20036","",""
"escooccupation","key_20572","essential","key_20018","",""
"escooccupation","key_20572","optional","key_19773","",""
"escooccupation","key_20572","optional","key_19947","",""
"escooccupation","key_20573","essential","key_20396","",""
"escooccupation","key_20573","essential","key_20386","",""
"escooccupation","key_20573","optional","key_19909","",""
"escooccupation","key_20573","optional","key_20045","",""
"escooccupation","key_20573","optional","key_20051","",""
"escooccupation","key_20573","optional","key_20333","",""
"escooccupation","key_20573","optional","key_20338","",""
"escooccupation","key_20573","optional","key_19451","",""
"escooccupation","key_20573","optional","key_19865","",""
"escooccupation","key_20573","optional","key_19942","",""
"escooccupation","key_20574","optional","key_20367","",""
"escooccupation","key_20575","essential","key_19613","",""
"escooccupation","key_20575","essential","key_19633","",""
"escooccupation","key_20575","essential","key_19685","",""
"escooccupation","key_20575","essential","key_19916","",""
"escooccupation","key_20575","essential","key_20024","",""
"escooccupation","key_20575","optional","key_19840","",""
"escooccupation","key_20575","optional","key_19675","",""
"escooccupation","key_20575","optional","key_19722","",""
"escooccupation","key_20575","optional","key_20211","",""
"escooccupation","key_20576","essential","key_20076","",""
"escooccupation","key_20577","essential","key_20266","",""
"escooccupation","key_20577","optional","key_19830","",""
"escooccupation","key_20577","optional","key_20137","",""
"escooccupation","key_20578","essential","key_20157","",""
"escooccupation","key_20578","essential","key_20154","",""
"escooccupation","key_20579","essential","key_20364","",""
"escooccupation","key_20579","essential","key_19716","",""
"escooccupation","key_20579","essential","key_20081","",""
"escooccupation","key_20579","optional","key_19527","",""
"escooccupation","key_20579","optional","key_19931","",""
"escooccupation","key_20579","optional","key_20354","",""
"escooccupation","key_20579","optional","key_20384","",""
"escooccupation","key_20580","essential","key_19505","",""
"escooccupation","key_20580","essential","key_19762","",""
"escooccupation","key_20580","essential","key_19865","",""
"escooccupation","key_20580","essential","key_19870","",""
"escooccupation","key_20580","essential","key_20125","",""
"escooccupation","key_20580","optional","key_19451","",""
"escooccupation","key_20580","optional","key_19646","",""
"escooccupation","key_20580","optional","key_19807","",""
"escooccupation","key_20580","optional","key_20154","",""
"escooccupation","key_20582","essential","key_19642","",""
"escooccupation","key_20582","essential","key_19590","",""
"escooccupation","key_20582","essential","key_20217","",""
"escooccupation","key_20583","essential","key_19499","",""
"escooccupation","key_20583","optional","key_19660","",""
"escooccupation","key_20583","optional","key_20154","",""
"escooccupation","key_20583","optional","key_20224","",""
"escooccupation","key_20584","essential","key_19680","",""
"escooccupation","key_20584","essential","key_20022","",""
"escooccupation","key_20584","essential","key_19509","",""
"escooccupation","key_20584","essential","key_19818","",""
"escooccupation","key_20585","essential","key_19451","",""
"escooccupation","key_20585","essential","key_19865","",""
"escooccupation","key_20585","essential","key_19992","",""
"escooccupation","key_20585","optional","key_19528","",""
"escooccupation","key_20585","optional","key_20089","",""
"escooccupation","key_20585","optional","key_20098","",""
"escooccupation","key_20585","optional","key_20216","",""
"escooccupation","key_20586","essential","key_20384","",""
"escooccupation","key_20586","essential","key_19716","",""
"escooccupation","key_20586","optional","key_19949","",""
"escooccupation","key_20587","essential","key_19516","",""
"escooccupation","key_20587","essential","key_19617","",""
"escooccupation","key_20587","essential","key_19860","",""
"escooccupation","key_20587","essential","key_20256","",""
"escooccupation","key_20587","optional","key_20228","",""
"escooccupation","key_20588","essential","key_20153","",""
"escooccupation","key_20588","essential","key_19424","",""
"escooccupation","key_20588","essential","key_19933","",""
"escooccupation","key_20589","essential","key_20157","",""
"escooccupation","key_20589","essential","key_20015","",""
"escooccupation","key_20589","optional","key_19640","",""
"escooccupation","key_20590","essential","key_19784","",""
"escooccupation","key_20590","essential","key_20386","",""
"escooccupation","key_20590","essential","key_20409","",""
"escooccupation","key_20590","optional","key_19942","",""
"escooccupation","key_20590","optional","key_20234","",""
"escooccupation","key_20591","essential","key_20228","",""
"escooccupation","key_20591","optional","key_20050","",""
"escooccupation","key_20591","optional","key_20312","",""
"escooccupation","key_20592","essential","key_19661","",""
"escooccupation","key_20592","essential","key_19592","",""
"escooccupation","key_20592","essential","key_20048","",""
"escooccupation","key_20592","optional","key_20185","",""
"escooccupation","key_20592","optional","key_20241","",""
"escooccupation","key_20593","essential","key_19540","",""
"escooccupation","key_20593","essential","key_20111","",""
"escooccupation","key_20594","essential","key_19451","",""
"escooccupation","key_20594","essential","key_19865","",""
"escooccupation","key_20594","essential","key_20038","",""
"escooccupation","key_20594","optional","key_19938","",""
"escooccupation","key_20594","optional","key_19552","",""
"escooccupation","key_20594","optional","key_19891","",""
"escooccupation","key_20595","essential","key_20056","",""
"escooccupation","key_20595","essential","key_19458","",""
"escooccupation","key_20595","essential","key_19730","",""
"escooccupation","key_20595","essential","key_20096","",""
"escooccupation","key_20596","essential","key_19546","",""
"escooccupation","key_20596","optional","key_20150","",""
"escooccupation","key_20597","essential","key_19920","",""
"escooccupation","key_20597","optional","key_19937","",""
"escooccupation","key_20597","optional","key_19492","",""
"escooccupation","key_20597","optional","key_20207","",""
"escooccupation","key_20598","essential","key_20034","",""
"escooccupation","key_20598","optional","key_20396","",""
"escooccupation","key_20600","essential","key_19830","",""
"escooccupation","key_20601","optional","key_19499","",""
"escooccupation","key_20602","essential","key_19960","",""
"escooccupation","key_20602","essential","key_19885","",""
"escooccupation","key_20602","optional","key_19705","",""
"escooccupation","key_20602","optional","key_20377","",""
"escooccupation","key_20603","essential","key_20388","",""
"escooccupation","key_20603","optional","key_20373","",""
"escooccupation","key_20604","optional","key_20016","",""
"escooccupation","key_20605","essential","key_19422","",""
"escooccupation","key_20605","essential","key_19437","",""
"escooccupation","key_20605","essential","key_19563","",""
"escooccupation","key_20606","essential","key_20365","",""
"escooccupation","key_20606","optional","key_19516","",""
"escooccupation","key_20606","optional","key_19844","",""
"escooccupation","key_20606","optional","key_20372","",""
"escooccupation","key_20607","essential","key_19701","",""
"escooccupation","key_20607","optional","key_19600","",""
"escooccupation","key_20607","optional","key_19764","",""
"escooccupation","key_20608","essential","key_19545","",""
"escooccupation","key_20608","essential","key_20203","",""
"escooccupation","key_20608","essential","key_19807","",""
"escooccupation","key_20609","essential","key_20057","",""
"escooccupation","key_20609","optional","key_20206","",""
"escooccupation","key_20610","essential","key_19646","",""
"escooccupation","key_20610","optional","key_19476","",""
"escooccupation","key_20611","essential","key_20049","",""
"escooccupation","key_20611","optional","key_19449","",""
"escooccupation","key_20612","essential","key_19458","",""
"escooccupation","key_20612","essential","key_19590","",""
"escooccupation","key_20612","essential","key_20002","",""
"escooccupation","key_20612","optional","key_20367","",""
"escooccupation","key_20613","essential","key_19874","",""
"escooccupation","key_20613","essential","key_20204","",""
"escooccupation","key_20613","essential","key_20387","",""
"escooccupation","key_20613","optional","key_20147","",""
"escooccupation","key_20613","optional","key_20257","",""
"escooccupation","key_20614","optional","key_20217","",""
"escooccupation","key_20615","optional","key_19546","",""
"escooccupation","key_20615","optional","key_20085","",""
"escooccupation","key_20616","essential","key_20053","",""
"escooccupation","key_20616","optional","key_19884","",""
"escooccupation","key_20616","optional","key_19443","",""
"escooccupation","key_20617","optional","key_19458","",""
"escooccupation","key_20617","optional","key_19516","",""
"escooccupation","key_20618","essential","key_19536","",""
"escooccupation","key_20618","essential","key_19660","",""
"escooccupation","key_20619","essential","key_20179","",""
"escooccupation","key_20619","optional","key_19499","",""
"escooccupation","key_20620","essential","key_19972","",""
"escooccupation","key_20621","essential","key_19920","",""
"escooccupation","key_20621","optional","key_19681","",""
"escooccupation","key_20622","essential","key_19976","",""
"escooccupation","key_20623","optional","key_20378","",""
"escooccupation","key_20624","essential","key_19860","",""
"escooccupation","key_20625","essential","key_20258","",""
"escooccupation","key_20625","optional","key_20231","",""
"escooccupation","key_20626","essential","key_19747","",""
"escooccupation","key_20626","optional","key_19947","",""
"escooccupation","key_20627","essential","key_20279","",""
"escooccupation","key_20628","essential","key_19976","",""
"escooccupation","key_20628","essential","key_20045","",""
"escooccupation","key_20628","essential","key_20396","",""
"escooccupation","key_20628","essential","key_19451","",""
"escooccupation","key_20628","essential","key_19865","",""
"escooccupation","key_20628","essential","key_20034","",""
"escooccupation","key_20628","optional","key_20216","",""
"escooccupation","key_20629","essential","key_19716","",""
"escooccupation","key_20629","essential","key_19959","",""
"escooccupation","key_20629","optional","key_19980","",""
"escooccupation","key_20629","optional","key_20156","",""
"escooccupation","key_20629","optional","key_20384","",""
"escooccupation","key_20630","essential","key_19575","",""
"escooccupation","key_20630","optional","key_19664","",""
"escooccupation","key_20631","essential","key_20282","",""
"escooccupation","key_20631","essential","key_19758","",""
"escooccupation","key_20631","essential","key_20386","",""
"escooccupation","key_20631","essential","key_20409","",""
