ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/04,key_687,"18fd21f6-cec4-401e-8c5c-ecfa335b32bb
e5f6f7bf-6732-4910-bbf9-7d5d67006cb9
84774dbd-ae6d-4aa0-8b16-c58e1a98ba01",,"commerce, administration et droit",,,
http://data.europa.eu/esco/isced-f/040,key_688,"95be97d8-75b6-4e2c-963a-392ce0908299
1c23f483-b2f4-4343-ac44-e979162a974a
e06bad40-7eb8-4257-98e3-af9ae23a20c1",,"commerce, administration et droit non définis",,,
http://data.europa.eu/esco/isced-f/0400,key_689,"a1f50ecd-3ba2-41f6-a93d-6d4b433c0373
519f1041-e467-4641-97a2-928118c71e77
c7d88303-287d-4fe4-9d9b-d1a3ffd564f2",,"commerce, administration et droit non définis",,,
http://data.europa.eu/esco/isced-f/041,key_690,"a457027e-6ba3-4663-851c-2a67fe964922
4f9c2335-9054-48b7-9983-ff122c9d0700
8b3a0f34-c6d6-4e47-a64b-341f0f9247e6",,commerce et administration,,,
http://data.europa.eu/esco/isced-f/0410,key_691,"6716ec4f-9307-47fb-8ba6-a8f1bb1e0d3a
a3c4ee32-16e4-43a4-bdb9-861d56a9b562
4217456c-be3a-4a1c-b6e1-7c1d364bf4e7",,commerce et administration non définis,,,
http://data.europa.eu/esco/isced-f/0411,key_692,"65fd54e5-8ef9-4886-9cfa-f4b4c9c9edf5
09bd9b63-aae8-445e-8371-c47d302f5af1
ae41f328-3104-494b-bd1d-0b06b615e008",,comptabilité et fiscalité,,,
http://data.europa.eu/esco/isced-f/0412,key_693,"541d5d97-a2b8-4cad-855a-3400b54e2785
568f6269-b544-495a-9bca-b175f80a053b
f4d8c0c9-14f6-42c7-a80c-51730aa38691",,"finance, banque et assurances",,,
http://data.europa.eu/esco/isced-f/0413,key_694,"f9b6ed1b-fb1b-47dd-b112-5e550a3a15ea
9aaa99f4-d19b-4042-a645-f375a7c49506
a0c8360b-e40e-4383-92cb-6c0ce4fb9e8d",,gestion et administration,,,
http://data.europa.eu/esco/isced-f/0414,key_695,"10e5061d-245f-41cf-830c-207944435da4
5a426edb-4475-4352-9bbd-1ec3cd79ae25
d4d379fd-fd82-4103-8545-1755c80f4499",,marketing et publicité,,,
http://data.europa.eu/esco/isced-f/0415,key_696,"ea289cec-5867-4e57-abbe-81f229ea36bd
76fb2917-f12a-40cd-9479-2b431171baa2
38991a6d-57a5-479c-893c-f31ac368aacb",,travail de secrétariat et de bureau,,,
http://data.europa.eu/esco/isced-f/0416,key_697,"6c8b9e03-edfb-47bf-9726-81f2d668e00f
895dfab6-8bc0-4d15-8bc2-33da5db7616c
dc2180e7-ae93-49ae-96c7-b3e21a180c78",,vente en gros et au détail,,,
http://data.europa.eu/esco/isced-f/0417,key_698,"ff7c8bce-0f25-4923-9eda-38951a9af974
65b1f7d4-5e7e-4e94-a818-b23ad3c267f7
e6dd1322-5aea-4e67-9b21-d3e534444f06",,compétences professionnelles,,,
http://data.europa.eu/esco/isced-f/0419,key_699,"736ecdcb-3054-4a63-a907-a221679716b1
91eec490-a7d8-4b66-b1da-1f5497bd368b
c592b90e-d788-4224-860f-bb781d5fe94a",,commerce et administration non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/042,key_700,"87d068e9-2ae4-4f85-bae7-92e896894983
f95fe291-9907-4f43-9039-bdbb45acfa68
93833897-a5c1-44b4-a5a8-6eb97d0917f3",,droit,,,
http://data.europa.eu/esco/isced-f/0421,key_701,"98c24ee5-167b-48c1-98d7-2fb2bd15a359
27bb0249-9f4c-4dce-b424-58a251971407
836856fe-e8e8-45ca-bc3a-566edaf76da0",,droit,,,
http://data.europa.eu/esco/isced-f/048,key_702,"a766ea97-547b-49e1-a6c8-dd757543d526
88d5a267-979f-4c86-8661-54b31dd2e8a3
387d1c9c-492b-4639-a20b-1079ad196ff5",,"programmes interdisciplinaires et certifications impliquant le commerce, l'administration et le droit",,,
http://data.europa.eu/esco/isced-f/0488,key_703,"8e6b14cb-342b-434b-aa99-79fa8df3063f
46877aa4-f9e5-42d9-a28b-89146a8c419d
1b37ab8e-781b-4a02-8b37-7d4b562f4061",,"programmes interdisciplinaires et certifications impliquant le commerce, l'administration et le droit",,,
http://data.europa.eu/esco/isced-f/049,key_704,"3b720923-e6e0-4a0e-bb11-8dec2e552bfc
8cceb766-a10f-443a-aa67-0ed67ce6eb69
169b19df-dbc7-4353-9f67-50ef8bca4267",,"commerce, administration et droit non classés ailleurs",,,
http://data.europa.eu/esco/isced-f/0499,key_705,"9f801333-cde0-4378-b461-b87fdbf2c39f
51a5fbaf-b177-4c53-9a69-6e5e04be0bb5
9f0c232b-bead-461f-9ff0-0e648a8e49b0",,"commerce, administration et droit non classés ailleurs",,,
http://data.europa.eu/esco/isced-f/05,key_706,"7e34b2d6-8017-432f-b9b6-db5e44b58638
adb26cff-999e-4bbb-aefc-6186e77b5e15
2bdf1a14-9103-43df-b2af-21927033cd6d",,"sciences naturelles, mathématiques et statistiques",,,
http://data.europa.eu/esco/isced-f/050,key_707,"2f3e5a30-2083-4505-95a4-4eb837556da6
10f4d120-340e-4039-9a34-b6585693924d
d8808ac0-52e3-4ea6-aff6-b7ff2d2e4368",,"sciences naturelles, mathématiques et statistiques non définis",,,
http://data.europa.eu/esco/isced-f/0500,key_708,"8d6480c4-b6d1-4cfb-9446-222712198aed
b93d117d-8a1d-4c1f-92f2-5be54a36c0dc
20722480-7509-494b-bfdc-ffaebf7f90d1",,"sciences naturelles, mathématiques et statistiques non définis",,,
http://data.europa.eu/esco/isced-f/051,key_709,"a56ba719-b2bb-412a-9e04-6964455b8b8e
a6a6b704-a913-4b82-84bd-c120258c79f9
e94ccc00-b9a8-4b6f-a551-e21fb3063a65",,sciences biologiques et apparentées,,,
http://data.europa.eu/esco/isced-f/0510,key_710,"fb7b09bb-9454-4c24-b798-95f79fd6cd5d
7382684f-5ac0-4906-beb1-3a9a796abdde
12bfb6b0-e7ca-452f-89f1-f2c236663508",,sciences biologiques et apparentées non définis,,,
http://data.europa.eu/esco/isced-f/0511,key_711,"d02438df-4e51-410e-9a13-0d8322b05225
e9c1d15c-4059-4c4c-89b1-4ac8b15314b9
6cdd9458-34ee-495d-87f3-0c2d5421a287",,biologie,,,
http://data.europa.eu/esco/isced-f/0512,key_712,"2e8f58c7-9523-45d0-bca9-9d97a60c1448
a4975c7b-5127-49d2-8349-e8fe59f8b95b
80404726-0bb0-4f57-92f1-5cc98b3a6589",,biochimie,,,
http://data.europa.eu/esco/isced-f/0519,key_713,"7ecdd648-8f20-48e9-abb2-91602c325c75
7264a520-156e-4ca0-bd86-fb2c8cdccfa3
d85a28a8-0a9f-4c70-8223-6a5fbac3f465",,sciences biologiques et apparentées non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/052,key_714,"6a8facd2-d3eb-4a7c-80c4-f217b6e59549
e0f62656-93ab-4021-9021-1397a1ac1724
e4c58f81-6115-4012-8f7b-3a563e119a17",,environnement,,,
http://data.europa.eu/esco/isced-f/0520,key_715,"60db72fa-a3d5-434d-8990-46bfef3bbc1d
7c42dd46-c753-4aaa-9e8b-035577cf9047
eedd2a93-6510-40bd-b452-4b621e181d13",,environnement non défini,,,
http://data.europa.eu/esco/isced-f/0521,key_716,"892cfe20-3530-4084-8116-189aa5afe36e
673116a7-c233-43fe-ab14-f5ef3e8959cb
d882845c-0c95-4b42-a984-459080ac8a3f",,sciences environnementales,,,
