originalSkillUri,originalSkillType,relationType,relatedSkillType,relatedSkillUri
http://data.europa.eu/esco/skill/0359f76c-3ef3-4e52-abcf-1b2b32ed20a5,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/13bf8e76-044a-43c3-9924-ee6d99b50a9f
http://data.europa.eu/esco/skill/0359f76c-3ef3-4e52-abcf-1b2b32ed20a5,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/30385f84-3f06-4f5b-b93f-e34997013a8b
http://data.europa.eu/esco/skill/0361c099-da6c-404e-984b-a8b8a0c017d1,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/3efd2b02-f6f8-4911-a154-8bfcaeadeb5d
http://data.europa.eu/esco/skill/0361c099-da6c-404e-984b-a8b8a0c017d1,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/ee01c662-e667-41ed-a082-a7a56b514eaa
http://data.europa.eu/esco/skill/037c8da7-6a0d-42b8-b979-c4abe7c92d48,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/787b82e0-382b-4f1e-b9f3-56f419fbb1cb
http://data.europa.eu/esco/skill/03d93b02-a461-4815-a4c0-b46451afc1c2,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/e1dc3eab-4d66-4ae5-a089-b9d884fd4e5a
http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/c345ad5f-6b37-4861-98b2-769d819309a0
http://data.europa.eu/esco/skill/03d988af-2e63-4151-bb5e-950f366e2c64,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/367165b1-fb00-4e55-a8ba-99b2510718b6
http://data.europa.eu/esco/skill/0415142d-6921-4f8d-832b-6271382b8193,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/74c0c0d2-aeb8-44b2-b86a-117d0455ae88
http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/059b2748-e1df-43d2-8a08-0331fb8d0ddf
http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/0cf27a00-947f-473d-af1a-24028c17ba27
http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/598a1b3c-828e-494c-a034-3cbc136ca929
http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/d3e63bd9-cc29-4e46-92b1-c2b6fa491624
