OCCUPATIONOBJECTTYPE,REQUIRING,RELATIONTYPE,REQUIRED
ESCOOccupation,e864d9e1-d636-431a-a7b4-b5b5580e4484,optional,0d54f870-569b-4f36-a9a7-cc7dbfb17de5
ESCOOccupation,e864d9e1-d636-431a-a7b4-b5b5580e4484,optional,4c1526ba-1bec-4a8c-aa08-e848f5b35bbf
ESCOOccupation,8889ec3f-aae8-47b2-b405-5603eb612821,optional,30ea974b-28e7-47fd-9f7e-1b40e5ac0143
ESCOOccupation,017cb587-b116-4f38-8a8b-7e511b137a68,optional,c03cdb6c-ef0d-47dc-a51b-44f1c1345fec
ESCOOccupation,d99f7f2a-7ddf-45f0-a878-e98204d5eca3,optional,e33b50cd-8908-4f6a-a10b-d160e2ffdf29
ESCOOccupation,d99f7f2a-7ddf-45f0-a878-e98204d5eca3,optional,80f7a653-4e3c-4e30-8bba-9b8fafc7c7e6
ESCOOccupation,f4bded78-d949-44cb-86b1-90b5b535b9ba,optional,c5438130-34d9-4b17-bfbc-05dc9b91b58f
ESCOOccupation,f4bded78-d949-44cb-86b1-90b5b535b9ba,optional,23cc1ef8-8ab4-4c6d-a4a8-05bebbc94b60
ESCOOccupation,2db697a9-a5f0-444e-be6a-c7ca4a20462d,optional,62612a2f-20d4-46db-a2a3-6b27823a0e9e
ESCOOccupation,2db697a9-a5f0-444e-be6a-c7ca4a20462d,optional,125e9f10-a580-4024-86e4-b9303acda675
ESCOOccupation,93c96dae-3449-41a7-8b29-dd363c8ebbd8,optional,4729efae-2126-488c-95e4-97226296a5ae
ESCOOccupation,93c96dae-3449-41a7-8b29-dd363c8ebbd8,optional,01319317-742b-4084-a6b8-f4e9b7a2bee9
ESCOOccupation,33cb82cb-bbc8-4a56-9ae8-daedd7e4f859,optional,60541c7c-9ce2-4d9d-aeb4-f042e7a436b7
ESCOOccupation,33cb82cb-bbc8-4a56-9ae8-daedd7e4f859,optional,ca54e1f6-bd43-4f72-a1f6-ae934a4152f4
ESCOOccupation,a9dc88d3-3d61-4721-bf0e-a79be11f6b19,optional,da2cb85a-e9f1-4951-82eb-49de9308596d
ESCOOccupation,db806e8e-ecb8-410d-bafc-cdc063803ea0,optional,ed28c26a-a8f2-4ccf-a73a-70801c48db76
ESCOOccupation,aae6d33e-980d-47e5-8466-cf588b8e9b68,essential,42411253-78f0-4588-8f31-6439e5b0e270
ESCOOccupation,aae6d33e-980d-47e5-8466-cf588b8e9b68,optional,fe1eae8c-a742-48a6-a728-ad1d47e04d10
ESCOOccupation,c450ca83-47eb-48b4-b65a-d35822dfbac3,optional,f13a65e2-7e0d-438d-a8c8-61cb9468534c
ESCOOccupation,c450ca83-47eb-48b4-b65a-d35822dfbac3,optional,64d978e8-3246-4262-af3d-291b775b506a
ESCOOccupation,9565cf24-6fe9-4a68-8080-7e81b775b632,optional,3595710d-144a-4f2c-944f-626c3c626fcf
ESCOOccupation,28c9759e-f518-4ec6-a35a-8cb01ac7b89d,optional,c11eb241-2ec1-4421-826d-bb27b8724bdf
ESCOOccupation,c02dd054-f9cd-45dc-946f-931454a5d643,optional,32cb1356-6307-4e3c-a83a-16efaa8bd299
ESCOOccupation,c02dd054-f9cd-45dc-946f-931454a5d643,optional,2173bfd8-5d04-43db-b9fb-c1222222bb71
ESCOOccupation,b19fa73c-2b14-415a-a521-9049548796cf,optional,dd076b3f-ec76-473d-a443-e72fc57822cf
ESCOOccupation,b19fa73c-2b14-415a-a521-9049548796cf,optional,76cec6d2-74db-4bba-92ad-4915c8c25ac5
ESCOOccupation,19d10a1d-2611-4d25-ba75-d869b9c0f476,optional,14d58e7d-8acb-4d38-8c79-600edd4f33ac
ESCOOccupation,1c9951b9-4acc-4c9f-9c65-f87a9f59d4ab,optional,7a3631a1-5fe0-44fa-a53e-d220a067faa6
ESCOOccupation,f312acba-1550-455f-96a2-9c6037bb25eb,optional,c72c59e1-3434-4fc4-b291-8a0381e86303
ESCOOccupation,b71c25b9-e729-4ace-a428-d43d5e867baf,optional,05d6a216-0227-43c6-aed5-82093d9266ee
ESCOOccupation,39c3af3a-7d65-480f-8547-6bdd27ece3a5,optional,5939d8c3-c4f7-4fad-9414-2fa9054e4d99
ESCOOccupation,39c3af3a-7d65-480f-8547-6bdd27ece3a5,optional,fcf97e9c-3925-43a6-aeb4-4e16dbe27a29
ESCOOccupation,39c3af3a-7d65-480f-8547-6bdd27ece3a5,optional,e2751ea4-d78c-451d-bda3-baa4997d0ef9
ESCOOccupation,2843138e-0b02-4130-a372-8f03865fff38,optional,3fa2a392-fa47-4b2d-8938-13cbed8d5454
ESCOOccupation,2843138e-0b02-4130-a372-8f03865fff38,optional,72756513-893b-4800-8af1-478dd91d0a56
ESCOOccupation,d764c25a-503f-4d12-b8b7-63c246322e4a,optional,1490ee6c-6c44-4d48-be42-b654f67c836c
ESCOOccupation,d764c25a-503f-4d12-b8b7-63c246322e4a,optional,d894acda-6689-4da3-8d9d-84083c2f89e9
