PARENTOBJECTTYPE,PARENTUUID,CHILDUUID,CHILDOBJECTTYPE
SkillGroup,bb9fa54e-daa9-4b20-8c6e-9022eefea0f6,e346fac0-7690-4a6a-bde0-b0e926c7e7bf,SkillGroup
SkillGroup,e346fac0-7690-4a6a-bde0-b0e926c7e7bf,bd3c9c92-2f35-476e-9b0d-7b9375987f2e,SkillGroup
SkillGroup,e346fac0-7690-4a6a-bde0-b0e926c7e7bf,0e840278-2e93-47f1-86bc-5a7763784842,SkillGroup
SkillGroup,e346fac0-7690-4a6a-bde0-b0e926c7e7bf,a0487cce-b60d-4364-8d79-279c9b56bf80,SkillGroup
SkillGroup,e346fac0-7690-4a6a-bde0-b0e926c7e7bf,028857c8-24cf-4414-bf6f-fffa889ff762,SkillGroup
SkillGroup,bb9fa54e-daa9-4b20-8c6e-9022eefea0f6,b2081b22-5c4b-4f6f-8f62-0f0f19807b8c,SkillGroup
SkillGroup,b2081b22-5c4b-4f6f-8f62-0f0f19807b8c,a4b600ba-4fac-428a-bd5b-58f1f502b01d,SkillGroup
SkillGroup,b2081b22-5c4b-4f6f-8f62-0f0f19807b8c,9743051c-e4aa-4c6b-bc37-f42ec59a94bc,SkillGroup
SkillGroup,b2081b22-5c4b-4f6f-8f62-0f0f19807b8c,96480a89-b102-4c19-a81d-9080a38b7ec3,SkillGroup
SkillGroup,b2081b22-5c4b-4f6f-8f62-0f0f19807b8c,4896044d-2f19-4d58-93fe-8cab372a0c65,SkillGroup
SkillGroup,b2081b22-5c4b-4f6f-8f62-0f0f19807b8c,267ff316-588f-444e-acbd-58dda599b76c,SkillGroup
SkillGroup,bb9fa54e-daa9-4b20-8c6e-9022eefea0f6,890b3099-72fd-4678-be8e-11a7ea71995e,SkillGroup
SkillGroup,890b3099-72fd-4678-be8e-11a7ea71995e,3fda9514-0e22-45fe-bb87-c704af18ea0e,SkillGroup
SkillGroup,890b3099-72fd-4678-be8e-11a7ea71995e,96a0b062-3263-424b-9667-8f5279e180f5,SkillGroup
SkillGroup,890b3099-72fd-4678-be8e-11a7ea71995e,20577b78-bd41-4850-b4c3-028ec2a3bec5,SkillGroup
SkillGroup,bb9fa54e-daa9-4b20-8c6e-9022eefea0f6,deeb6195-ada8-440f-aff8-75a70f67b883,SkillGroup
SkillGroup,deeb6195-ada8-440f-aff8-75a70f67b883,7b3e2b09-685b-43e7-82d4-24ad7a9b5f00,SkillGroup
SkillGroup,bb9fa54e-daa9-4b20-8c6e-9022eefea0f6,50b3fe97-cbd4-4f4c-acb4-3952347bc595,SkillGroup
SkillGroup,50b3fe97-cbd4-4f4c-acb4-3952347bc595,91222f3d-57f8-460a-ad8c-357ce8a191d1,SkillGroup
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,e832a3e1-15a0-4502-ad07-8246314015c1,SkillGroup
SkillGroup,e832a3e1-15a0-4502-ad07-8246314015c1,0a494c4a-6243-4564-b016-1b50988ecaf0,SkillGroup
SkillGroup,0a494c4a-6243-4564-b016-1b50988ecaf0,838513d1-e796-458e-b7ed-a940420c0d4e,SkillGroup
SkillGroup,0a494c4a-6243-4564-b016-1b50988ecaf0,0ccb3546-6444-4057-8e23-4b95a9ef4a57,SkillGroup
SkillGroup,0a494c4a-6243-4564-b016-1b50988ecaf0,722302fc-f80d-491e-a303-4cfd4dc8c553,SkillGroup
SkillGroup,0a494c4a-6243-4564-b016-1b50988ecaf0,eec3db87-dc5f-42e1-a846-8a11f42e8c50,SkillGroup
SkillGroup,0a494c4a-6243-4564-b016-1b50988ecaf0,5662f5e3-7cd1-4d55-9e08-be8f3a7784df,SkillGroup
SkillGroup,e832a3e1-15a0-4502-ad07-8246314015c1,0bb0e7f5-2d93-41d9-b918-7f1e545368c5,SkillGroup
SkillGroup,0bb0e7f5-2d93-41d9-b918-7f1e545368c5,e7bd3cf4-b064-43ba-9ab4-e424145a0226,SkillGroup
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,eaf498e4-e55a-4749-b6e1-eed711b47a34,SkillGroup
SkillGroup,eaf498e4-e55a-4749-b6e1-eed711b47a34,630af20d-bbde-4f20-a5d4-db68b6e06eaf,SkillGroup
SkillGroup,630af20d-bbde-4f20-a5d4-db68b6e06eaf,2b839a29-e01a-4ef9-a6fc-2efdf77337ca,SkillGroup
SkillGroup,eaf498e4-e55a-4749-b6e1-eed711b47a34,994213a3-1426-4ea9-8889-5038e318c5ee,SkillGroup
SkillGroup,994213a3-1426-4ea9-8889-5038e318c5ee,d24543db-e8d9-45ed-afc1-1789fda37e85,SkillGroup
SkillGroup,994213a3-1426-4ea9-8889-5038e318c5ee,f58574da-2cbb-4f13-aa26-dca43e74250b,SkillGroup
SkillGroup,994213a3-1426-4ea9-8889-5038e318c5ee,f374b83f-65b5-4d46-b81a-78e15eea02ef,SkillGroup
SkillGroup,994213a3-1426-4ea9-8889-5038e318c5ee,a431bd73-8d93-4e51-9c52-153d9ed34ec2,SkillGroup
SkillGroup,994213a3-1426-4ea9-8889-5038e318c5ee,16670ca8-7f37-4507-a474-5f786e8feafd,SkillGroup
SkillGroup,994213a3-1426-4ea9-8889-5038e318c5ee,af3f1de9-3ddc-4b83-a1ac-fb929043dc44,SkillGroup
SkillGroup,994213a3-1426-4ea9-8889-5038e318c5ee,2f1e847b-a387-483f-bd70-c7b430f57706,SkillGroup
