ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/0223,key_656,"0409e6d8-a694-4ec0-9a50-eeb69dd6e022
97e701b3-e8b4-4329-9ac2-ed00a1b32c45",,philosophy and ethics,,"Philosophy and ethics is the study of philosophy, ethics and related subjects dealing with the conception of life.
Programmes and qualifications with the following main content are classified here:
Ethics
Logic
Morals
Philosophy

=== Exclusions
Study of religion is excluded from this detailed field and included in detailed field 0221 'Religion'.
Study of Philosophy of arts is excluded from this detailed field and is included in detailed field 0213 'Fine arts'",
http://data.europa.eu/esco/isced-f/0228,key_657,"a26afdbf-f3a7-4a51-a82d-943dc0bc67d7
bedb5a1f-6531-4003-bfe4-fb9cac20f1cf",,inter-disciplinary programmes and qualifications involving humanities,,,
http://data.europa.eu/esco/isced-f/0229,key_658,"429fecd8-5383-421a-94fa-9df690ca9102
c126f890-d177-4f4c-a455-48af5a80235a",,humanities (except languages) not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/023,key_659,"f3054b55-cbb5-489b-b0b9-9225c69d7832
6a9e256b-ba9d-4305-8c07-f35662c55529",,languages,,,
http://data.europa.eu/esco/isced-f/0230,key_660,"e5321e63-8371-41c9-a55d-8bdb9c4bd8d2
148fb66b-3a5a-40a0-b16b-950abcec010b",,languages not further defined,,,
http://data.europa.eu/esco/isced-f/0231,key_661,"664d6d1b-5d45-4934-bb07-78e29e0e9f7d
e9f612b0-a097-44d4-a585-c681df726179",,language acquisition,,"Language acquisition is the study of the structure and composition of languages taught as second or foreign languages (i.e. that are intended for non-native or non-fluent speakers of the language). It includes the study of related cultures, literature, linguistics and phonetics if related to the specific language being acquired and forms part of the same programme or qualification. Classical or dead languages are included here as it is assumed there are no native speakers of the language and hence the manner of teaching and the content of the curriculum are more similar to the teaching of foreign languages.
Programmes and qualifications with the following main content are classified here:
Classical languages
Exogenous languages
Foreign languages
Interpretation
Phonetics
Second languages, for example English as a second language
Sign language
Sign language interpreting
Translation

=== Inclusions:
Language and linguistics studies are included here if the linguistics are related to a specific language or languages being acquired and forming part of the same programme or qualification. Translation and interpretation are included here.

=== Exclusions:
The study of the mother tongue or first language (i.e. that are intended for native, fluent or competent speakers of the language), even if this language is not a national language of the country of study (e.g. programmes for immigrants learning their mother tongue) are excluded from this detailed field and included in detailed field 0232 'Literature and linguistics'.",
http://data.europa.eu/esco/isced-f/0232,key_662,"2318aab6-0fd9-403b-8241-93d8f651bcfd
d0cd89f5-76f9-46fa-9d05-d0a50e68d544",,literature and linguistics,,"Literature and linguistics is here defined as the study of language(s) intended for native, fluent or competent speakers of the language. It includes the study of related literature and linguistics and may or may not include the structure and composition of the language.
Programmes and qualifications with the following main content are classified here:
Creative writing
First language
Indigenous languages
Linguistics
Literature
'Mother tongue' languages
Native first languages

=== Inclusions
Languages taught as the first language ('mother tongue'), even if the language is not the national language of the country of study (e.g. programmes for immigrants in their home or first language) are included here. Local and regional languages are included here if they are first languages spoken by a significant minority in the country and are intended for at least competent speakers of the language.
Study of comparative literature is included here. Study of general linguistics (not related to the study of a particular language) is included here. Study of literature in general (not combined with study of a special language) is included here.

=== Exclusions
Language programmes are excluded from this detailed field if the language is taught as a foreign or a second language, and are then included in 0231 'Language acquisition'.
Programmes in literacy and numeracy are excluded from this detailed field and included in detailed field 0021 'Literacy and numeracy'.
Sign language programmes are excluded from this detailed field and included in detailed field 0231 'Language acquisition'.",
http://data.europa.eu/esco/isced-f/0239,key_663,"92df7fb0-de31-400b-87bd-c6e052506fbb
73ab4ef4-53eb-499f-8646-f763260cfdab",,languages not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/028,key_664,"c5457b5d-7ecc-4277-bd8e-4988c09ee5a8
3ac0dafa-2aa3-41b6-9575-d08759b85e37",,inter-disciplinary programmes and qualifications involving arts and humanities,,,
http://data.europa.eu/esco/isced-f/0288,key_665,"50094f6a-04c0-437a-9180-7f34aa1696ba
0d8c45c9-230a-4ee4-9bc4-db090e5f221d",,inter-disciplinary programmes and qualifications involving arts and humanities,,Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to arts and humanities are classified here.,
http://data.europa.eu/esco/isced-f/029,key_666,"b534f26b-3be9-4006-8a23-5e5603697370
8d8a94a6-4f75-4aff-98a7-8a7da0e59145",,arts and humanities not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/0299,key_667,"484f2a56-aa88-4e50-9917-07f3974a163c
d9050d04-ff8c-44b8-b100-87b9074a7c3e",,arts and humanities not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/03,key_668,"230663d8-54ec-4a1b-bb5e-7fcc156fff3b
b64743ba-56a8-4005-82d4-c7e001154c84",,"social sciences, journalism and information",,,
http://data.europa.eu/esco/isced-f/030,key_669,"057cf6f7-12bb-46da-9f64-79fbaa62bb2c
4c7704e7-b754-403b-896e-1919901f557f",,"social sciences, journalism and information not further defined",,,
http://data.europa.eu/esco/isced-f/0300,key_670,"fd6b9eb8-1167-4d04-a667-94beb7f64b6e
82246bb8-2d5d-4231-819d-65a013523858",,"social sciences, journalism and information not further defined",,,
http://data.europa.eu/esco/isced-f/031,key_671,"7159ad75-4eca-43a6-a4c2-8155411acc3a
acb4a9e2-3a9c-4856-aaa7-68d38c32d7a4",,social and behavioural sciences,,,
http://data.europa.eu/esco/isced-f/0310,key_672,"64d5c600-337d-4200-9597-e0a3d2ea6769
317a5207-0082-4662-b20f-674e7150b026",,social and behavioural sciences not further defined,,,
http://data.europa.eu/esco/isced-f/0311,key_673,"de6aa263-2843-43e8-b074-9e2ee079cf57
3a6a02d5-39df-453c-a42d-1849afdb03f5",,economics,,"Economics is the study of economic policy, economic theory and economic decisionmaking.
Programmes and qualifications with the following main content are classified here:
Econometrics
Economic history
Economics
Political economics

=== Exclusions
Study of economics where emphasis is given to business studies is excluded from this detailed field and classified under 041 'Business and administration'. Study of home economics is excluded from this detailed field and included in the detailed field 1011 'Domestic services'.",
http://data.europa.eu/esco/isced-f/0312,key_674,"afbad2f2-7591-489c-b875-e7b4a6809afd
64e38f83-5cf7-498b-a14d-b42838394202",,political sciences and civics,,"Political sciences and civics is the study of government and political principles or practice. The study of the rights and duties of the citizens are included here.
Programmes and qualifications with the following main content are classified here:
Civics
Human rights
International relations
Peace and conflict studies
Political history
Political science
Public policy studies

=== Exclusions
Study of political economics is excluded from this detailed field and included in the detailed field 0311 'Economics'.",
http://data.europa.eu/esco/isced-f/0313,key_675,"a90bb1ca-d453-4005-ab11-6cad5f2aa8ea
f301fac8-7f28-40c2-86cb-594b47f258db",,psychology,,"Psychology is the study of the human mind and behaviour as a result of individual differences, experience and environment.
Programmes and qualifications with the following main content are classified here:
Cognitive science
Psychoanalysis
Psychology
Psychotherapy",
http://data.europa.eu/esco/isced-f/0314,key_676,"4fa246f2-5270-4743-8570-6f62fac397f6
e813a331-1daa-4f0d-be33-ad724aa9f1d4",,sociology and cultural studies,,"Sociology and cultural studies is the study of human beings and the way they behave in groups and in relation to society. The study of ethnology and social anthropology are included here, likewise the study of human and social geography.
Programmes and qualifications with the following main content are classified here:
Criminology
Cultural geography
Cultural studies
Demography/population studies
Ethnology
Gender studies
Social anthropology
Sociology

=== Exclusions
Social welfare where emphasis is given to practical social work is excluded from this detailed field and included in detailed field 0923 'Social work and counselling'.
Physical geography is excluded from this detailed field and included in detailed field 0532 'Earth science'.",
http://data.europa.eu/esco/isced-f/0319,key_677,"9da6f5e2-611d-4471-a36b-caf0ff7195b3
c3926ac5-574a-4bae-aa7b-e870ff7857b1",,social and behavioural sciences not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/032,key_678,"61d4ef09-a273-4207-b87b-c2d3d9b4b3e0
8aff78ba-8ac5-40d7-8ee8-7c0a3b560ddb",,journalism and information,,,
